Mcg,Gvh,Lip,Chg,Aac,Alm1,Alm2,class
0.044944,0.321839,1,1,0.477273,0.365591,0.444444,cp
0.269663,0.390805,1,1,0.352273,0.193548,0.313131,cp
0.404494,0.609195,1,1,0.465909,0.397849,0.464646,cp
0.325843,0.586207,1,1,0.477273,0.301075,0.393939,cp
0.730337,0.528736,1,1,0.670455,0.021505,0.040404,cp
0.359551,0.471264,1,1,0.397727,0.290323,0.383838,cp
0.426966,0.517241,1,1,0.545455,0.225806,0.292929,cp
0.370787,0.505747,1,1,0.590909,0.333333,0.414141,cp
0.033708,0.413793,1,1,0.670455,0.430108,0.494949,cp
0.044944,0.045977,1,1,0.511364,0.408602,0.474747,cp
0.314607,0.425287,1,1,0.056818,0.344086,0.424242,cp
0.685393,0.505747,1,1,0.545455,0.365591,0.414141,cp
0.191011,0.425287,1,1,0.511364,0.44086,0.050505,cp
0.494382,0.390805,1,1,0.625,0.580645,0.616162,cp
0.483146,0.034483,1,1,0.443182,0.290323,0.393939,cp
0.47191,0.390805,1,1,0.659091,0.150538,0.272727,cp
0.258427,0.367816,1,1,0.488636,0.344086,0.434343,cp
0.41573,0.586207,1,1,0.477273,0.44086,0.363636,cp
0.325843,0.022989,1,1,0.511364,0.021505,0.171717,cp
0.247191,0.402299,1,1,0.397727,0.408602,0.474747,cp
0.258427,0.655172,1,1,0.420455,0.55914,0.59596,cp
0.52809,0.528736,1,1,0.25,0.16129,0.262626,cp
0.606742,0.528736,1,1,0.318182,0.344086,0.424242,cp
0.573034,0.413793,1,1,0.397727,0.376344,0.454545,cp
0.044944,0.390805,1,1,0.511364,0.344086,0.424242,cp
0.494382,0.37931,1,1,0.034091,0.344086,0.434343,cp
0.47191,0.425287,1,1,0.613636,0.354839,0.434343,cp
0.494382,0.632184,1,1,0.056818,0.483871,0.545455,cp
0.58427,0.402299,1,1,0.465909,0.290323,0.383838,cp
0.404494,0.45977,1,1,0.545455,0.494624,0.545455,cp
0.202247,0.022989,1,1,0.522727,0.247312,0.353535,cp
0.52809,0.321839,1,1,0.579545,0.344086,0.434343,cp
0.269663,0.482759,1,1,0.613636,0.548387,0.59596,cp
0.280899,0.413793,1,1,0.465909,0.344086,0.424242,cp
0.58427,0.643678,1,1,0.477273,0.494624,0.545455,cp
0.280899,0.413793,1,1,0.488636,0.268817,0.363636,cp
0.393258,0.54023,1,1,0.636364,0.032258,0.484848,cp
0.292135,0.287356,1,1,0.386364,0.258065,0.353535,cp
0.494382,0.574713,1,1,0.534091,0.268817,0.363636,cp
0.41573,0.045977,1,1,0.477273,0.376344,0.454545,cp
0.494382,0.471264,1,1,0.477273,0.258065,0.020202,cp
0.269663,0.482759,1,1,0.420455,0.290323,0.383838,cp
0.47191,0.022989,1,1,0.545455,0.268817,0.363636,cp
0.539326,0.471264,1,1,0.511364,0.258065,0.353535,cp
0.460674,0.54023,1,1,0.579545,0.462366,0.515152,cp
0.494382,0.310345,1,1,0.488636,0.27957,0.373737,cp
0.325843,0.45977,1,1,0.545455,0.397849,0.464646,cp
0.382022,0.310345,1,1,0.465909,0.365591,0.444444,cp
0.460674,0.482759,1,1,0.511364,0.322581,0.414141,cp
0.325843,0.528736,1,1,0.465909,0.236559,0.343434,cp
0.382022,0.62069,1,1,0.659091,0.322581,0.414141,cp
0.404494,0.632184,1,1,0.488636,0.473118,0.535354,cp
0.044944,0.517241,1,1,0.590909,0.516129,0.565657,cp
0.05618,0.551724,1,1,0.556818,0.483871,0.535354,cp
0.58427,0.494253,1,1,0.420455,0.376344,0.424242,cp
0.05618,0.574713,1,1,0.306818,0.236559,0.343434,cp
0.595506,0.471264,1,1,0.181818,0.301075,0.393939,cp
0.382022,0.517241,1,1,0.590909,0.365591,0.444444,cp
0.044944,0.471264,1,1,0.420455,0.27957,0.272727,cp
0.460674,0.482759,1,1,0.056818,0.247312,0.252525,cp
0.033708,0.505747,1,1,0.409091,0.215054,0.323232,cp
0.348315,0.528736,1,1,0.329545,0.290323,0.393939,cp
0.719101,0.862069,1,1,0.511364,0.365591,0.383838,cp
0.393258,0.413793,1,1,0.034091,0.354839,0.434343,cp
0.640449,0.609195,1,1,0.420455,0.290323,0.333333,cp
0.730337,0.62069,1,1,0.386364,0.387097,0.282828,cp
0.573034,0.517241,1,1,0.659091,0.322581,0.414141,cp
0.426966,0.034483,1,1,0.715909,0.258065,0.353535,cp
0.269663,0.643678,1,1,0.715909,0.354839,0.434343,cp
0.426966,0.287356,1,1,0.613636,0.16129,0.282828,cp
0.370787,0.528736,1,1,0.602273,0.182796,0.292929,cp
0.269663,0.37931,1,1,0.431818,0.021505,0.040404,cp
0.292135,0.045977,1,1,0.5,0.333333,0.414141,cp
0.494382,0.551724,1,1,0.443182,0.397849,0.040404,cp
0.483146,0.356322,1,1,0.375,0.473118,0.525253,cp
0.550562,0.482759,1,1,0.556818,0.021505,0.040404,cp
0.52809,0.310345,1,1,0.636364,0.010753,0.252525,cp
0.359551,0.367816,1,1,0.068182,0.053763,0.020202,cp
0.382022,0.390805,1,1,0.579545,0.516129,0.565657,cp
0.393258,0.37931,1,1,0.522727,0.021505,0.272727,cp
0.426966,0.022989,1,1,0.488636,0.301075,0.393939,cp
0.426966,0.494253,1,1,0.488636,0.010753,0.313131,cp
0.460674,0.574713,1,1,0.659091,0.010753,0.313131,cp
0.382022,0.471264,1,1,0.465909,0.354839,0.434343,cp
0.573034,0.551724,1,1,0.602273,0.139785,0.262626,cp
0.280899,0.574713,1,1,0.420455,0.44086,0.050505,cp
0.325843,0.310345,1,1,0.056818,0.44086,0.050505,cp
0.280899,0.287356,1,1,0.443182,0.333333,0.424242,cp
0.269663,0.45977,1,1,0.556818,0.236559,0.343434,cp
0.191011,0.436782,1,1,0.602273,0.021505,0.393939,cp
0.044944,0.344828,1,1,0.465909,0.301075,0.393939,cp
0.685393,0.402299,1,1,0.556818,0.365591,0.444444,cp
0.382022,0.574713,1,1,0.5,0.387097,0.464646,cp
0.314607,0.367816,1,1,0.511364,0.225806,0.333333,cp
0.044944,0.517241,1,1,0.477273,0.365591,0.444444,cp
0.258427,0.37931,1,1,0.488636,0.268817,0.373737,cp
0.41573,0.494253,1,1,0.477273,0.408602,0.474747,cp
0,0.425287,1,1,0.477273,0.505376,0.555556,cp
0.438202,0.344828,1,1,0.431818,0.354839,0.434343,cp
0.033708,0.494253,1,1,0.556818,0.225806,0.333333,cp
0.303371,0.022989,1,1,0.806818,0.290323,0.393939,cp
0.191011,0.586207,1,1,0.556818,0.387097,0.464646,cp
0.404494,0.471264,1,1,0.602273,0.333333,0.414141,cp
0.033708,0.413793,1,1,0.488636,0.182796,0.030303,cp
0.292135,0.034483,1,1,0.409091,0.268817,0.373737,cp
0.044944,0.45977,1,1,0.625,0.225806,0.333333,cp
0.247191,0.37931,1,1,0.477273,0.301075,0.393939,cp
0.494382,0.390805,1,1,0.5,0.548387,0.59596,cp
0.303371,0.471264,1,1,0.420455,0.397849,0.434343,cp
0.179775,0.482759,1,1,0.613636,0.27957,0.373737,cp
0.067416,0.689655,1,1,0.556818,0.978495,0.373737,im
0.494382,0.586207,1,1,0.488636,0.494624,0.545455,im
0.707865,0.528736,1,1,0.579545,0.870968,0.848485,im
0.258427,0.54023,1,1,0.670455,0.935484,0.89899,im
0.382022,0.551724,1,1,0.659091,0.903226,0.080808,im
0.483146,0.034483,1,1,0.659091,0.795699,0.787879,im
0.516854,0.689655,1,1,0.545455,0.913978,0.878788,im
0.303371,0.390805,1,1,0.579545,0.817204,0.79798,im
0.58427,0.436782,1,1,0.738636,0.752688,0.737374,im
0.325843,0.528736,1,1,0.806818,0.688172,0.69697,im
0.617978,0.528736,1,1,0.647727,0.827957,0.080808,im
0.134831,0.758621,1,1,0.840909,0.612903,0.636364,im
0.044944,0.045977,1,1,0.738636,0.870968,0.848485,im
0.820225,0.402299,1,1,0.602273,0.967742,0.929293,im
0.94382,0.494253,1,1,0.545455,0.752688,0.747475,im
0.539326,0.505747,1,1,0.068182,0.827957,0.080808,im
0.606742,0.551724,1,1,0.045455,0.924731,0.888889,im
0.539326,0.45977,1,1,0.579545,0.086022,0.888889,im
0.05618,0.747126,1,1,0.352273,0.978495,0.929293,im
0.808989,0.517241,1,1,0.579545,0.698925,0.070707,im
0.52809,0.62069,1,1,0.659091,0.752688,0.757576,im
0.370787,0.632184,1,1,0.375,0.827957,0.080808,im
0.719101,0.655172,1,1,0.545455,0.827957,0.737374,im
0.606742,0.643678,1,1,0.636364,0.860215,0.838384,im
0.52809,0.666667,1,1,0.590909,0.806452,0.79798,im
0.707865,0.045977,1,1,0.670455,0.903226,0.868687,im
0.550562,0.471264,1,1,0.602273,0.83871,0.818182,im
0.348315,0.045977,1,1,0.647727,0.892473,0.858586,im
0.831461,0.494253,1,1,0.625,0.935484,0.89899,im
0.370787,0.505747,1,1,0.511364,0.935484,0.89899,im
0.505618,0.034483,1,1,0.693182,0.784946,0.777778,im
0.797753,0.034483,1,1,0.806818,0.064516,0.747475,im
0.05618,0.413793,1,1,0.75,0.677419,0.69697,im
0.741573,0.597701,1,1,0.670455,0.698925,0.666667,im
0.067416,0.689655,1,1,0.613636,0.709677,0.717172,im
0.932584,0.413793,1,1,0.693182,0.752688,0.747475,im
0.382022,0.574713,1,1,0.761364,0.086022,0.090909,im
0.707865,0.609195,1,1,0.738636,0.83871,0.818182,im
0.078652,0.034483,1,1,0.636364,0.913978,0.838384,im
0.067416,0.045977,0,1,0.613636,0.817204,0.080808,im
0.179775,0.574713,1,1,0.375,0.408602,0.484848,im
0.831461,0.068966,1,1,0.75,0.688172,0.69697,im
0.022472,0.517241,1,1,0.647727,0.827957,0.818182,im
1,0.62069,1,1,0.579545,0.763441,0.767677,im
0.078652,0.517241,1,1,0.636364,0.827957,0.737374,im
0.134831,0.482759,1,1,0.715909,0.064516,0.747475,im
0.685393,0.586207,1,1,0.613636,0.709677,0.525253,im
0.370787,0.413793,1,1,0.522727,0.688172,0.69697,im
0.707865,0.735632,1,1,0.75,0.709677,0.717172,im
0.460674,0.574713,1,1,0.602273,0.795699,0.787879,im
0.382022,0.758621,1,1,0.590909,0.806452,0.79798,im
0.651685,0.37931,1,1,0.636364,0.924731,0.818182,im
0.662921,0.632184,1,1,0.625,0.075269,0.828283,im
0.573034,0.034483,1,1,0.647727,0.655914,0.676768,im
0.05618,0.643678,1,1,0.806818,0.645161,0.666667,im
0.067416,0.517241,1,1,0.511364,0.860215,0.838384,im
0.41573,0.528736,1,1,0.443182,0.806452,0.79798,im
0.651685,0.62069,1,1,0.647727,0.064516,0.747475,im
0.404494,0.528736,1,1,0.579545,0.731183,0.727273,im
0.438202,0.45977,1,1,0.590909,0.763441,0.757576,im
0.393258,0.574713,1,1,0.693182,0.752688,0.747475,im
0.348315,0.494253,1,1,0.056818,0.83871,0.828283,im
0.685393,0.747126,1,1,0.522727,0.924731,0.888889,im
0.539326,0.551724,1,1,0.590909,0.817204,0.717172,im
0.123596,0.045977,1,1,0.659091,0.763441,0.686869,im
0.348315,0.402299,1,1,0.659091,1,0.949495,im
0.764045,0.574713,1,1,0.806818,0.795699,0.787879,im
0.775281,0.436782,1,1,0.647727,0.806452,0.79798,im
0.58427,0.609195,1,1,0.704545,0.806452,0.79798,im
0.516854,0.666667,1,1,0.409091,0.806452,0.232323,im
0.404494,0.505747,1,1,0.431818,0.83871,0.171717,im
0,0.574713,1,1,0.397727,0.709677,0.444444,im
0.011236,0.551724,1,1,0.465909,0.709677,0.212121,im
0.033708,0.574713,1,1,0.477273,0.645161,0.343434,im
0.685393,0.528736,1,1,0,0.075269,0.323232,im
0.707865,0.850575,1,1,0.727273,0.774194,0.666667,im
0.797753,0.586207,1,1,0.727273,0,1,im
0.955056,0.597701,1,1,0.602273,0.548387,0.353535,imS
0.707865,0.551724,1,1,0.613636,0.806452,0.79798,imS
0.842697,0.62069,0,0,0.045455,0.494624,0.030303,imL
0.078652,0.436782,0,1,0.579545,0.870968,0.848485,imL
0.808989,0.471264,1,1,0.738636,0.817204,0.79798,imU
0.88764,0.45977,1,1,0.75,0.860215,0.838384,imU
0.932584,0.54023,1,1,0.738636,0.806452,0.79798,imU
0.775281,0.482759,1,1,0.670455,0.784946,0.777778,imU
0.88764,0.402299,1,1,0.522727,0.870968,0.070707,imU
0.876404,0.367816,1,1,0.647727,0.817204,0.79798,imU
0.842697,0.413793,1,1,0.727273,0.064516,0.747475,imU
0.662921,0.321839,1,1,0.727273,0.795699,0.777778,imU
0.752809,0.413793,1,1,0.613636,0.677419,0.686869,imU
0.741573,0.54023,1,1,0.613636,0.064516,0.747475,imU
0.719101,0.517241,1,1,0.545455,0.774194,0.767677,imU
0.853933,0.804598,1,1,0.056818,0.752688,0.757576,imU
0.94382,0.551724,1,1,0.625,0.827957,0.747475,imU
0.865169,0.62069,1,1,0.579545,0.827957,0.747475,imU
0.910112,0.494253,1,1,0.477273,0.709677,0.686869,imU
0.651685,0.057471,1,1,0.670455,0.774194,0.767677,imU
0.707865,0.471264,1,1,0.545455,0.817204,0.080808,imU
0.696629,0.471264,1,1,0.659091,0.83871,0.818182,imU
0.966292,0.436782,1,1,0.670455,0.946237,0.090909,imU
0.910112,0.597701,1,1,0.647727,0.924731,0.888889,imU
0.977528,0.551724,1,1,0.693182,0.806452,0.79798,imU
0.52809,0.517241,1,1,0.704545,0.784946,0.777778,imU
0.853933,0.45977,1,1,0.056818,0.623656,0.626263,imU
0.078652,0.597701,1,1,0.079545,0.913978,0.878788,imU
0.719101,0.505747,1,1,0.761364,0.645161,0.666667,imU
0.910112,0.586207,1,1,0.647727,0.827957,0.080808,imU
0.820225,0.287356,1,1,0.647727,0.795699,0.787879,imU
0.550562,0.689655,0,1,0.636364,0.752688,0.747475,imU
0.988764,0.471264,1,1,0.590909,0.774194,0.757576,imU
0.94382,0.609195,1,1,0.852273,0.978495,0.070707,imU
0.707865,0.574713,1,1,0.727273,0.763441,0.767677,imU
0.966292,0.62069,1,1,0.715909,0.860215,0.838384,imU
0.88764,0.609195,1,1,0.056818,0.698925,0.686869,imU
0.640449,0.425287,1,1,0.068182,0.516129,0.333333,imU
0.876404,0.494253,1,1,0.511364,0.774194,0.686869,imU
0.876404,0.770115,1,1,0.943182,0.032258,0.292929,om
0.707865,0.781609,1,1,0.738636,0.430108,0.282828,om
0.752809,1,1,1,0.829545,0.043011,0.252525,om
0.685393,0.850575,1,1,0.579545,0.344086,0.333333,om
0.752809,0.954023,1,1,0.840909,0.569892,0.373737,om
0.831461,0.091954,1,1,0.647727,0.55914,0.292929,om
0.820225,0.954023,1,1,0.977273,0.612903,0.292929,om
0.842697,0.862069,1,1,0.943182,0.602151,0.030303,om
0.865169,0.643678,1,1,1,0.55914,0.020202,om
0.831461,0.885057,1,1,0.852273,0.569892,0.151515,om
0.764045,0.862069,1,1,0.954545,0.473118,0.272727,om
0.629213,0.770115,1,1,0.875,0.376344,0.454545,om
0.730337,0.574713,1,1,0.75,0.569892,0.333333,om
0.58427,0.91954,1,1,0.818182,0.397849,0.383838,om
0.719101,0.643678,1,1,0.079545,0.344086,0.262626,om
0.067416,0.862069,0,1,0.875,0.623656,0.525253,om
0.775281,0.666667,1,1,0.875,0.408602,0.212121,om
0.707865,0.551724,1,1,0.897727,0.473118,0.282828,om
0.797753,0.804598,1,1,0.772727,0.451613,0.363636,om
0.764045,0.712644,1,1,0.829545,0.032258,0.030303,om
0.865169,0.643678,0,1,0.420455,0.569892,0.010101,omL
0.741573,0.551724,0,1,0.613636,0.591398,0.363636,omL
0.797753,0.517241,0,1,0.590909,0.623656,0.030303,omL
0.752809,0.62069,0,1,0.75,0.612903,0.161616,omL
0.764045,0.551724,0,1,0.704545,0.580645,0.282828,omL
0.831461,0.551724,1,1,0.477273,0.569892,0.363636,pp
0.078652,0.689655,1,1,0.636364,0.548387,0.434343,pp
0.741573,0.977011,1,1,0.386364,0.430108,0.363636,pp
0.820225,0.885057,1,1,0.659091,0.537634,0.313131,pp
0.730337,0.643678,1,1,0.534091,0.494624,0.515152,pp
0.808989,0.977011,1,1,0.193182,0.580645,0.212121,pp
0.752809,0.068966,1,1,0.522727,0.473118,0.333333,pp
0.752809,0.91954,1,1,0.613636,0.516129,0.232323,pp
0.752809,0.689655,1,1,0.579545,0.387097,0.383838,pp
0.707865,0,1,1,0.397727,0.537634,0.494949,pp
0.640449,0.666667,1,1,0.443182,0.494624,0.333333,pp
0.797753,0.804598,1,1,0.045455,0.569892,0.393939,pp
0.741573,0.83908,1,1,0.352273,0.397849,0.434343,pp
0.752809,0.91954,1,1,0.284091,0.44086,0.252525,pp
0.719101,0.816092,1,1,0.556818,0.44086,0.191919,pp
0.764045,0.931034,1,1,0.431818,0.688172,0.565657,pp
0.359551,0.436782,1,1,0.602273,0.290323,0.383838,pp
0.078652,0.724138,1,1,0.534091,0.537634,0.474747,pp
0.707865,0.643678,1,1,0.556818,0.064516,0.020202,pp
0.831461,0.931034,1,1,0.556818,0.516129,0.414141,pp
0.707865,0.977011,1,1,0.443182,0.494624,0.343434,pp
0.707865,0.942529,1,1,0.045455,0.408602,0.191919,pp
0.707865,0.804598,1,1,0.068182,0.032258,0.393939,pp
0.797753,0.977011,1,1,0.045455,0.569892,0.323232,pp
0.764045,0.885057,1,1,0.488636,0.462366,0.424242,pp
0.719101,0.954023,1,1,0.420455,0.473118,0.040404,pp
0.831461,0.528736,1,1,0.056818,0.602151,0.424242,pp
0.842697,0.954023,1,1,0.397727,0.548387,0.333333,pp
0.707865,0.735632,1,1,0.443182,0.462366,0.353535,pp
0.775281,0.758621,1,1,0.034091,0.408602,0.242424,pp
0.078652,0.804598,1,1,0.477273,0.892473,0.858586,pp
0.775281,0.08046,1,1,0.522727,0.602151,0.262626,pp
0.719101,0.747126,1,1,0.465909,0.408602,0.020202,pp
0.707865,0.08046,1,1,0.522727,0.322581,0.292929,pp
0.741573,0.804598,1,1,0.465909,0.043011,0.353535,pp
0.775281,0.666667,1,1,0.522727,0.462366,0.525253,pp
0.764045,0.758621,1,1,0.556818,0.032258,0.343434,pp
0.719101,0.885057,1,1,0.056818,0.376344,0.383838,pp
0.696629,0.885057,1,1,0.534091,0.516129,0.545455,pp
0.853933,0.827586,1,1,0.5,0.408602,0.393939,pp
0.719101,0.91954,1,1,0.420455,0.408602,0.444444,pp
0.325843,0.436782,1,1,0.590909,0.032258,0.484848,pp
0.696629,0.942529,1,1,0.522727,0.376344,0.040404,pp
0.629213,0.609195,1,1,0.488636,0.387097,0.030303,pp
0.775281,0.747126,1,1,0.465909,0.043011,0.252525,pp
0.775281,0.735632,1,1,0.715909,0.505376,0.414141,pp
0.483146,0.666667,1,1,0.590909,0.516129,0.565657,pp
0.831461,0.632184,1,1,0.534091,0.72043,0.030303,pp
0.797753,0.643678,1,1,0.545455,0.365591,0.323232,pp
0.685393,0.057471,1,1,0.5,0.408602,0.383838,pp
0.662921,0.689655,1,1,0.477273,0.44086,0.373737,pp
0.831461,0.83908,1,1,0.352273,0.55914,0.525253,pp
