A1,A2,A3,A4,A5,A6,class
1,0,0,0,0.666667,1,1
1,0,0,0,1,0,0
1,0,0,0,1,1,0
1,0,0,0.5,0,1,1
1,0,0,0.5,0.333333,0,1
1,0,0,0.5,0.333333,1,1
1,0,0,0.5,0.666667,0,1
1,0,0,0.5,0.666667,1,1
1,0,0,0.5,1,0,0
1,0,0,0.5,1,1,0
1,0,0,1,0,0,1
1,0,0,1,0,1,1
1,0,0,1,0.333333,0,1
1,0,0,1,0.333333,1,1
1,0,0,1,0.666667,0,1
1,0,0,1,0.666667,1,1
1,0,0,1,1,0,0
1,0,1,0,0,0,1
1,0,1,0,0,1,1
1,0,1,0,0.333333,0,1
1,0,1,0,0.333333,1,1
1,0,1,0,0.666667,1,1
1,0,1,0,1,0,0
1,0,1,0,1,1,0
1,0,1,0.5,0,0,1
1,0,1,0.5,0,1,1
1,0,1,0.5,0.333333,0,1
1,0,1,0.5,0.666667,0,1
1,0,1,0.5,0.666667,1,1
1,0,1,0.5,1,1,0
1,0,1,1,0,0,1
1,0,1,1,0,1,1
1,0,1,1,0.333333,0,1
1,0,1,1,0.333333,1,1
1,0,1,1,0.666667,0,1
1,0,1,1,0.666667,1,1
1,0,1,1,1,1,0
1,0.5,0,0,0,0,1
1,0.5,0,0,0,1,1
1,0.5,0,0,0.333333,0,1
1,0.5,0,0,0.333333,1,1
1,0.5,0,0,0.666667,0,1
1,0.5,0,0,0.666667,1,1
1,0.5,0,0,1,0,0
1,0.5,0,0,1,1,0
1,0.5,0,0.5,0,0,1
1,0.5,0,0.5,0,1,1
1,0.5,0,0.5,0.333333,0,1
1,0.5,0,0.5,0.666667,0,1
1,0.5,0,0.5,0.666667,1,1
1,0.5,0,0.5,1,0,0
1,0.5,0,0.5,1,1,0
1,0.5,0,1,0,0,1
1,0.5,0,1,0,1,1
1,0.5,0,1,0.333333,0,1
1,0.5,0,1,0.333333,1,1
1,0.5,0,1,0.666667,0,1
1,0.5,0,1,0.666667,1,1
1,0.5,0,1,1,0,0
1,0.5,1,0,0,0,1
1,0.5,1,0,0,1,1
1,0.5,1,0,0.333333,0,1
1,0.5,1,0,0.666667,0,1
1,0.5,1,0,1,1,0
1,0.5,1,0.5,0,0,1
1,0.5,1,0.5,0,1,1
1,0.5,1,0.5,0.333333,0,1
1,0.5,1,0.5,0.333333,1,1
1,0.5,1,0.5,0.666667,0,1
1,0.5,1,0.5,0.666667,1,1
1,0.5,1,0.5,1,1,0
1,0.5,1,1,0,0,1
1,0.5,1,1,0,1,1
1,0.5,1,1,0.333333,0,1
1,0.5,1,1,0.333333,1,1
1,0.5,1,1,0.666667,0,1
1,0.5,1,1,0.666667,1,1
1,0.5,1,1,1,0,0
1,0.5,1,1,1,1,0
1,1,0,0,0,0,0
1,1,0,0,0,1,0
1,1,0,0,0.333333,0,0
1,1,0,0,0.333333,1,0
1,1,0,0,0.666667,0,1
1,1,0,0,0.666667,1,1
1,1,0,0,1,0,0
1,1,0,0.5,0,0,0
1,1,0,0.5,0,1,0
1,1,0,0.5,0.333333,0,0
1,1,0,0.5,0.333333,1,0
1,1,0,0.5,0.666667,0,0
1,1,0,0.5,0.666667,1,0
1,1,0,0.5,1,0,0
1,1,0,0.5,1,1,0
1,1,0,1,0,0,0
1,1,0,1,0,1,0
1,1,0,1,0.333333,0,0
1,1,0,1,0.333333,1,0
1,1,0,1,0.666667,0,0
1,1,0,1,0.666667,1,0
1,1,0,1,1,0,0
1,1,0,1,1,1,0
1,1,1,0,0,0,0
1,1,1,0,0,1,0
1,1,1,0,0.333333,0,0
1,1,1,0,0.333333,1,0
1,1,1,0,0.666667,0,1
1,1,1,0,0.666667,1,1
1,1,1,0,1,0,0
1,1,1,0,1,1,0
1,1,1,0.5,0,0,0
1,1,1,0.5,0,1,0
1,1,1,0.5,0.333333,0,0
1,1,1,0.5,0.333333,1,0
1,1,1,0.5,0.666667,0,0
1,1,1,0.5,0.666667,1,0
1,1,1,0.5,1,0,0
1,1,1,0.5,1,1,0
1,1,1,1,0,0,0
1,1,1,1,0,1,0
1,1,1,1,0.333333,0,0
1,1,1,1,0.333333,1,0
1,1,1,1,0.666667,0,0
1,1,1,1,0.666667,1,0
1,1,1,1,1,0,0
1,1,1,1,1,1,0
0,0,0,0,0.333333,0,1
0,0,0,1,0.333333,0,1
0,0,0,1,0.666667,1,1
0,0,1,0,0.333333,0,1
0,0,1,0,0.666667,1,1
0,0.5,0,0,1,1,0
0,0.5,1,0.5,0,0,1
0,0.5,1,0.5,0.333333,1,1
0,0.5,1,1,0.333333,1,1
0,0.5,1,1,1,0,0
0,1,0,0.5,0,1,0
0,1,0,0.5,0.666667,0,0
0,1,0,0.5,1,1,0
0,1,1,0,0,1,0
0,1,1,0.5,0.666667,1,0
0.5,0,0,1,0,0,1
0.5,0,0,1,0.666667,0,1
0.5,0,0,1,0.666667,1,1
0.5,0,1,0,0.333333,0,1
0.5,0,1,1,0.333333,0,1
0.5,0,1,1,0.333333,1,1
0.5,0,1,1,1,1,0
0.5,0.5,0,0,0,0,1
0.5,0.5,0,0.5,0.333333,0,1
0.5,0.5,0,0.5,1,1,0
0.5,0.5,1,1,0.666667,1,1
0.5,1,0,0.5,0.333333,0,0
0.5,1,0,0.5,1,0,0
0.5,1,0,1,0.666667,1,0
0.5,1,0,1,1,1,0
0.5,1,1,0.5,0.666667,0,0
1,0,0,0.5,0,0,1
1,0,0,1,1,1,0
1,0,1,0,0.666667,0,1
1,0,1,0.5,0.333333,1,1
1,0,1,0.5,1,0,0
1,0,1,1,1,0,0
1,0.5,0,0.5,0.333333,1,1
1,0.5,0,1,1,1,0
1,0.5,1,0,0.333333,1,1
1,0.5,1,0,0.666667,1,1
1,0.5,1,0,1,0,0
1,0.5,1,0.5,1,0,0
1,1,0,0,1,1,0
