A1,A2,A3,A4,class
0,1,0.5,0,L
0,1,0.5,0.25,R
0,1,0.5,0.5,R
0,1,0.5,0.75,R
0,1,0.5,1,R
0,1,0.75,0,L
0,1,0.75,0.25,R
0,1,0.75,0.5,R
0,1,0.75,0.75,R
0,1,0.75,1,R
0,1,1,0,B
0,1,1,0.25,R
0,1,1,0.5,R
0,1,1,0.75,R
0,1,1,1,R
0.25,0,0,0,L
0.25,0,0,0.25,B
0.25,0,0,0.5,R
0.25,0,0,0.75,R
0.25,0,0,1,R
0.25,0,0.25,0,B
0.25,0,0.25,0.25,R
0.25,0,0.25,0.5,R
0.25,0,0.25,0.75,R
0.25,0,0.25,1,R
0.25,0,0.5,0,R
0.25,0,0.5,0.25,R
0.25,0,0.5,0.5,R
0.25,0,0.5,0.75,R
0.25,0,0.5,1,R
0.25,0,0.75,0,R
0.25,0,0.75,0.25,R
0.25,0,0.75,0.5,R
0.25,0,0.75,0.75,R
0.25,0,0.75,1,R
0.25,0,1,0,R
0.25,0,1,0.25,R
0.25,0,1,0.5,R
0.25,0,1,0.75,R
0.25,0,1,1,R
0.25,0.25,0,0,L
0.25,0.25,0,0.25,L
0.25,0.25,0,0.5,L
0.25,0.25,0,0.75,B
0.25,0.25,0,1,R
0.25,0.25,0.25,0,L
0.25,0.25,0.25,0.25,B
0.25,0.25,0.25,0.5,R
0.25,0.25,0.25,0.75,R
0.25,0.25,0.25,1,R
0.25,0.25,0.5,0,L
0.25,0.25,0.5,0.25,R
0.25,0.25,0.5,0.5,R
0.25,0.25,0.5,0.75,R
0.25,0.25,0.5,1,R
0.25,0.25,0.75,0,B
0.25,0.25,0.75,0.25,R
0.25,0.25,0.75,0.5,R
0.25,0.25,0.75,0.75,R
0.25,0.25,0.75,1,R
0.25,0.25,1,0,R
0.25,0.25,1,0.25,R
0.25,0.25,1,0.5,R
0.25,0.25,1,0.75,R
0.25,0.25,1,1,R
0.25,0.5,0,0,L
0.25,0.5,0,0.25,L
0.25,0.5,0,0.5,L
0.25,0.5,0,0.75,L
0.25,0.5,0,1,L
0.25,0.5,0.25,0,L
0.25,0.5,0.25,0.25,L
0.25,0.5,0.25,0.5,B
0.25,0.5,0.25,0.75,R
0.25,0.5,0.25,1,R
0.25,0.5,0.5,0,L
0.25,0.5,0.5,0.25,B
0.25,0.5,0.5,0.5,R
0.25,0.5,0.5,0.75,R
0.25,0.5,0.5,1,R
0.25,0.5,0.75,0,L
0.25,0.5,0.75,0.25,R
0.25,0.5,0.75,0.5,R
0.25,0.5,0.75,0.75,R
0.25,0.5,0.75,1,R
0.25,0.5,1,0,L
0.25,0.5,1,0.25,R
0.25,0.5,1,0.5,R
0.25,0.5,1,0.75,R
0.25,0.5,1,1,R
0.25,0.75,0,0,L
0.25,0.75,0,0.25,L
0.25,0.75,0,0.5,L
0.25,0.75,0,0.75,L
0.25,0.75,0,1,L
0.25,0.75,0.25,0,L
0.25,0.75,0.25,0.25,L
0.25,0.75,0.25,0.5,L
0.25,0.75,0.25,0.75,B
0.25,0.75,0.25,1,R
0.25,0.75,0.5,0,L
0.25,0.75,0.5,0.25,L
0.25,0.75,0.5,0.5,R
0.25,0.75,0.5,0.75,R
0.25,0.75,0.5,1,R
0.25,0.75,0.75,0,L
0.25,0.75,0.75,0.25,B
0.25,0.75,0.75,0.5,R
0.25,0.75,0.75,0.75,R
0.25,0.75,0.75,1,R
0.25,0.75,1,0,L
0.25,0.75,1,0.25,R
0.25,0.75,1,0.5,R
0.25,0.75,1,0.75,R
0.25,0.75,1,1,R
0.25,1,0,0,L
0.25,1,0,0.25,L
0.25,1,0,0.5,L
0.25,1,0,0.75,L
0.25,1,0,1,L
0.25,1,0.25,0,L
0.25,1,0.25,0.25,L
0.25,1,0.25,0.5,L
0.25,1,0.25,0.75,L
0.25,1,0.25,1,B
0.25,1,0.5,0,L
0.25,1,0.5,0.25,L
0.25,1,0.5,0.5,L
0.25,1,0.5,0.75,R
0.25,1,0.5,1,R
0.25,1,0.75,0,L
0.25,1,0.75,0.25,L
0.25,1,0.75,0.5,R
0.25,1,0.75,0.75,R
0.25,1,0.75,1,R
0.25,1,1,0,L
0.25,1,1,0.25,B
0.25,1,1,0.5,R
0.25,1,1,0.75,R
0.25,1,1,1,R
0.5,0,0,0,L
0.5,0,0,0.25,L
0.5,0,0,0.5,B
0.5,0,0,0.75,R
0.5,0,0,1,R
0.5,0,0.25,0,L
0.5,0,0.25,0.25,R
0.5,0,0.25,0.5,R
0.5,0,0.25,0.75,R
0.5,0,0.25,1,R
0.5,0,0.5,0,B
0.5,0,0.5,0.25,R
0.5,0,0.5,0.5,R
0.5,0,0.5,0.75,R
0.5,0,0.5,1,R
0.5,0,0.75,0,R
0.5,0,0.75,0.25,R
0.5,0,0.75,0.5,R
0.5,0,0.75,0.75,R
0.5,0,0.75,1,R
0.5,0,1,0,R
0.5,0,1,0.25,R
0.5,0,1,0.5,R
0.5,0,1,0.75,R
0.5,0,1,1,R
0.5,0.25,0,0,L
0.5,0.25,0,0.25,L
0.5,0.25,0,0.5,L
0.5,0.25,0,0.75,L
0.5,0.25,0,1,L
0.5,0.25,0.25,0,L
0.5,0.25,0.25,0.25,L
0.5,0.25,0.25,0.5,B
0.5,0.25,0.25,0.75,R
0.5,0.25,0.25,1,R
0.5,0.25,0.5,0,L
0.5,0.25,0.5,0.25,B
0.5,0.25,0.5,0.5,R
0.5,0.25,0.5,0.75,R
0.5,0.25,0.5,1,R
0.5,0.25,0.75,0,L
0.5,0.25,0.75,0.25,R
0.5,0.25,0.75,0.5,R
0.5,0.25,0.75,0.75,R
0.5,0.25,0.75,1,R
0.5,0.25,1,0,L
0.5,0.25,1,0.25,R
0.5,0.25,1,0.5,R
0.5,0.25,1,0.75,R
0.5,0.25,1,1,R
0.5,0.5,0,0,L
0.5,0.5,0,0.25,L
0.5,0.5,0,0.5,L
0.5,0.5,0,0.75,L
0.5,0.5,0,1,L
0.5,0.5,0.25,0,L
0.5,0.5,0.25,0.25,L
0.5,0.5,0.25,0.5,L
0.5,0.5,0.25,0.75,L
0.5,0.5,0.25,1,R
0.5,0.5,0.5,0,L
0.5,0.5,0.5,0.25,L
0.5,0.5,0.5,0.5,B
0.5,0.5,0.5,0.75,R
0.5,0.5,0.5,1,R
0.5,0.5,0.75,0,L
0.5,0.5,0.75,0.25,L
0.5,0.5,0.75,0.5,R
0.5,0.5,0.75,0.75,R
0.5,0.5,0.75,1,R
0.5,0.5,1,0,L
0.5,0.5,1,0.25,R
0.5,0.5,1,0.5,R
0.5,0.5,1,0.75,R
0.5,0.5,1,1,R
0.5,0.75,0,0,L
0.5,0.75,0,0.25,L
0.5,0.75,0,0.5,L
0.5,0.75,0,0.75,L
0.5,0.75,0,1,L
0.5,0.75,0.25,0,L
0.5,0.75,0.25,0.25,L
0.5,0.75,0.25,0.5,L
0.5,0.75,0.25,0.75,L
0.5,0.75,0.25,1,L
0.5,0.75,0.5,0,L
0.5,0.75,0.5,0.25,L
0.5,0.75,0.5,0.5,L
0.5,0.75,0.5,0.75,B
0.5,0.75,0.5,1,R
0.5,0.75,0.75,0,L
0.5,0.75,0.75,0.25,L
0.5,0.75,0.75,0.5,B
0.5,0.75,0.75,0.75,R
0.5,0.75,0.75,1,R
0.5,0.75,1,0,L
0.5,0.75,1,0.25,L
0.5,0.75,1,0.5,R
0.5,0.75,1,0.75,R
0.5,0.75,1,1,R
0.5,1,0,0,L
0.5,1,0,0.25,L
0.5,1,0,0.5,L
0.5,1,0,0.75,L
0.5,1,0,1,L
0.5,1,0.25,0,L
0.5,1,0.25,0.25,L
0.5,1,0.25,0.5,L
0.5,1,0.25,0.75,L
0.5,1,0.25,1,L
0.5,1,0.5,0,L
0.5,1,0.5,0.25,L
0.5,1,0.5,0.5,L
0.5,1,0.5,0.75,L
0.5,1,0.5,1,B
0.5,1,0.75,0,L
0.5,1,0.75,0.25,L
0.5,1,0.75,0.5,L
0.5,1,0.75,0.75,R
0.5,1,0.75,1,R
0.5,1,1,0,L
0.5,1,1,0.25,L
0.5,1,1,0.5,B
0.5,1,1,0.75,R
0.5,1,1,1,R
0.75,0,0,0,L
0.75,0,0,0.25,L
0.75,0,0,0.5,L
0.75,0,0,0.75,B
0.75,0,0,1,R
0.75,0,0.25,0,L
0.75,0,0.25,0.25,B
0.75,0,0.25,0.5,R
0.75,0,0.25,0.75,R
0.75,0,0.25,1,R
0.75,0,0.5,0,L
0.75,0,0.5,0.25,R
0.75,0,0.5,0.5,R
0.75,0,0.5,0.75,R
0.75,0,0.5,1,R
0.75,0,0.75,0,B
0.75,0,0.75,0.25,R
0.75,0,0.75,0.5,R
0.75,0,0.75,0.75,R
0.75,0,0.75,1,R
0.75,0,1,0,R
0.75,0,1,0.25,R
0.75,0,1,0.5,R
0.75,0,1,0.75,R
0.75,0,1,1,R
0.75,0.25,0,0,L
0.75,0.25,0,0.25,L
0.75,0.25,0,0.5,L
0.75,0.25,0,0.75,L
0.75,0.25,0,1,L
0.75,0.25,0.25,0,L
0.75,0.25,0.25,0.25,L
0.75,0.25,0.25,0.5,L
0.75,0.25,0.25,0.75,B
0.75,0.25,0.25,1,R
0.75,0.25,0.5,0,L
0.75,0.25,0.5,0.25,L
0.75,0.25,0.5,0.5,R
0.75,0.25,0.5,0.75,R
0.75,0.25,0.5,1,R
0.75,0.25,0.75,0,L
0.75,0.25,0.75,0.25,B
0.75,0.25,0.75,0.5,R
0.75,0.25,0.75,0.75,R
0.75,0.25,0.75,1,R
0.75,0.25,1,0,L
0.75,0.25,1,0.25,R
0.75,0.25,1,0.5,R
0.75,0.25,1,0.75,R
0.75,0.25,1,1,R
0.75,0.5,0,0,L
0.75,0.5,0,0.25,L
0.75,0.5,0,0.5,L
0.75,0.5,0,0.75,L
0.75,0.5,0,1,L
0.75,0.5,0.25,0,L
0.75,0.5,0.25,0.25,L
0.75,0.5,0.25,0.5,L
0.75,0.5,0.25,0.75,L
0.75,0.5,0.25,1,L
0.75,0.5,0.5,0,L
0.75,0.5,0.5,0.25,L
0.75,0.5,0.5,0.5,L
0.75,0.5,0.5,0.75,B
0.75,0.5,0.5,1,R
0.75,0.5,0.75,0,L
0.75,0.5,0.75,0.25,L
0.75,0.5,0.75,0.5,B
0.75,0.5,0.75,0.75,R
0.75,0.5,0.75,1,R
0.75,0.5,1,0,L
0.75,0.5,1,0.25,L
0.75,0.5,1,0.5,R
0.75,0.5,1,0.75,R
0.75,0.5,1,1,R
0.75,0.75,0,0,L
0.75,0.75,0,0.25,L
0.75,0.75,0,0.5,L
0.75,0.75,0,0.75,L
0.75,0.75,0,1,L
0.75,0.75,0.25,0,L
0.75,0.75,0.25,0.25,L
0.75,0.75,0.25,0.5,L
0.75,0.75,0.25,0.75,L
0.75,0.75,0.25,1,L
0.75,0.75,0.5,0,L
0.75,0.75,0.5,0.25,L
0.75,0.75,0.5,0.5,L
0.75,0.75,0.5,0.75,L
0.75,0.75,0.5,1,L
0.75,0.75,0.75,0,L
0.75,0.75,0.75,0.25,L
0.75,0.75,0.75,0.5,L
0.75,0.75,0.75,0.75,B
0.75,0.75,0.75,1,R
0.75,0.75,1,0,L
0.75,0.75,1,0.25,L
0.75,0.75,1,0.5,L
0.75,0.75,1,0.75,R
0.75,0.75,1,1,R
0.75,1,0,0,L
0.75,1,0,0.25,L
0.75,1,0,0.5,L
0.75,1,0,0.75,L
0.75,1,0,1,L
0.75,1,0.25,0,L
0.75,1,0.25,0.25,L
0.75,1,0.25,0.5,L
0.75,1,0.25,0.75,L
0.75,1,0.25,1,L
0.75,1,0.5,0,L
0.75,1,0.5,0.25,L
0.75,1,0.5,0.5,L
0.75,1,0.5,0.75,L
0.75,1,0.5,1,L
0.75,1,0.75,0,L
0.75,1,0.75,0.25,L
0.75,1,0.75,0.5,L
0.75,1,0.75,0.75,L
0.75,1,0.75,1,B
0.75,1,1,0,L
0.75,1,1,0.25,L
0.75,1,1,0.5,L
0.75,1,1,0.75,B
0.75,1,1,1,R
1,0,0,0,L
1,0,0,0.25,L
1,0,0,0.5,L
1,0,0,0.75,L
1,0,0,1,B
1,0,0.25,0,L
1,0,0.25,0.25,L
1,0,0.25,0.5,R
1,0,0.25,0.75,R
1,0,0.25,1,R
1,0,0.5,0,L
1,0,0.5,0.25,R
1,0,0.5,0.5,R
1,0,0.5,0.75,R
1,0,0.5,1,R
1,0,0.75,0,L
1,0,0.75,0.25,R
1,0,0.75,0.5,R
1,0,0.75,0.75,R
1,0,0.75,1,R
1,0,1,0,B
1,0,1,0.25,R
1,0,1,0.5,R
1,0,1,0.75,R
1,0,1,1,R
1,0.25,0,0,L
1,0.25,0,0.25,L
1,0.25,0,0.5,L
1,0.25,0,0.75,L
1,0.25,0,1,L
1,0.25,0.25,0,L
1,0.25,0.25,0.25,L
1,0.25,0.25,0.5,L
1,0.25,0.25,0.75,L
1,0.25,0.25,1,B
1,0.25,0.5,0,L
1,0.25,0.5,0.25,L
1,0.25,0.5,0.5,L
1,0.25,0.5,0.75,R
1,0.25,0.5,1,R
1,0.25,0.75,0,L
1,0.25,0.75,0.25,L
1,0.25,0.75,0.5,R
1,0.25,0.75,0.75,R
1,0.25,0.75,1,R
1,0.25,1,0,L
1,0.25,1,0.25,B
1,0.25,1,0.5,R
1,0.25,1,0.75,R
1,0.25,1,1,R
1,0.5,0,0,L
1,0.5,0,0.25,L
1,0.5,0,0.5,L
1,0.5,0,0.75,L
1,0.5,0,1,L
1,0.5,0.25,0,L
1,0.5,0.25,0.25,L
1,0.5,0.25,0.5,L
1,0.5,0.25,0.75,L
1,0.5,0.25,1,L
1,0.5,0.5,0,L
1,0.5,0.5,0.25,L
1,0.5,0.5,0.5,L
1,0.5,0.5,0.75,L
1,0.5,0.5,1,B
1,0.5,0.75,0,L
1,0.5,0.75,0.25,L
1,0.5,0.75,0.5,L
1,0.5,0.75,0.75,R
1,0.5,0.75,1,R
1,0.5,1,0,L
1,0.5,1,0.25,L
1,0.5,1,0.5,B
1,0.5,1,0.75,R
1,0.5,1,1,R
1,0.75,0,0,L
1,0.75,0,0.25,L
1,0.75,0,0.5,L
1,0.75,0,0.75,L
1,0.75,0,1,L
1,0.75,0.25,0,L
1,0.75,0.25,0.25,L
1,0.75,0.25,0.5,L
1,0.75,0.25,0.75,L
1,0.75,0.25,1,L
1,0.75,0.5,0,L
1,0.75,0.5,0.25,L
1,0.75,0.5,0.5,L
1,0.75,0.5,0.75,L
1,0.75,0.5,1,L
1,0.75,0.75,0,L
1,0.75,0.75,0.25,L
1,0.75,0.75,0.5,L
1,0.75,0.75,0.75,L
1,0.75,0.75,1,B
1,0.75,1,0,L
1,0.75,1,0.25,L
1,0.75,1,0.5,L
1,0.75,1,0.75,B
1,0.75,1,1,R
1,1,0,0,L
1,1,0,0.25,L
1,1,0,0.5,L
1,1,0,0.75,L
1,1,0,1,L
1,1,0.25,0,L
1,1,0.25,0.25,L
1,1,0.25,0.5,L
1,1,0.25,0.75,L
1,1,0.25,1,L
1,1,0.5,0,L
1,1,0.5,0.25,L
1,1,0.5,0.5,L
1,1,0.5,0.75,L
1,1,0.5,1,L
1,1,0.75,0,L
1,1,0.75,0.25,L
1,1,0.75,0.5,L
1,1,0.75,0.75,L
1,1,0.75,1,L
1,1,1,0,L
1,1,1,0.25,L
1,1,1,0.5,L
1,1,1,0.75,L
1,1,1,1,B
