A1,A2,A3,A4,class
0.5,1,0,0.306817,0
0.5,1,0,0.5,0
0.5,1,0.25,0.75,0
0.5,1,0.5,0.25,0
0.5,1,0.5,0.5,0
0.5,1,0.75,0,0
0.5,0.357659,0.75,0.75,2
0.5,1,1,0.75,2
0.75,0,1,0.25,2
0.75,0.25,0.747492,0,0
0.75,0.25,0,0.25,0
0.75,0.25,0,0.75,0
0.75,0.25,0.75,0.25,1
0.75,0.25,0.793873,0.75,2
0.75,0.25,1,0.5,2
0.75,0.851694,1,0.75,2
0.75,0.5,0,0.25,0
0.75,0.5,0,1,0
0.75,0.5,0.25,1,0
0.75,0.5,0.5,0.75,1
0.197007,0.5,0.5,1,2
0.75,0.5,0.75,0,0
0.75,0.75,0.25,0.25,0
0.75,0.75,0.5,1,0
0.75,0.75,0.75,0.25,0
0.75,0.75,0.75,0.5,0
0.75,0.75,1,0,0
0.75,1,0,1,0
0.75,0.850082,0.25,0.75,0
0.75,1,0.25,1,0
1,0,0,0,0
1,0,0,0.75,0
1,0,0,0.39323,1
1,0,0.25,0,0
1,0,0.5,0.5,2
1,0,0.75,0.75,2
1,0,1,0.25,2
1,0,1,0.75,2
1,0,1,1,2
1,0.25,0,0.25,0
1,0.25,0,0.5,0
1,0.25,0,1,0
1,0.25,0.5,0.25,0
1,0.25,0.5,0.75,2
1,0.0802,0.75,1,2
1,0.25,1,0.25,1
1,0.25,1,0.75,2
1,0.5,0.25,0.25,0
1,0.75,0,0,0
1,0.75,0.25,1,0
1,0.75,0.75,0.25,0
1,0.068672,0.75,0.75,0
1,0.75,1,0,0
1,0.75,1,0.25,0
1,1,0.670269,0.25,0
1,1,0,0.75,0
0.374406,1,0.25,0.25,0
1,1,0.5,1,0
0.818546,1,1,1,1
0,0,0.752414,0.25,2
0,0.75,1,0.5,2
0,1,0.25,0.5,2
0.25,0,0.5,0.5,2
0.25,0.75,1,0.869851,2
0.5,0.25,0.75,1,2
0.5,0.5,0,0.25,0
1,0.75,0.5,0.75,0
0,0,0,1,2
0,0,1,1,2
0,0.25,0,0.5,2
0,0.25,0.418993,1,2
0,0.664415,0.25,0.5,2
0,0.25,0.5,0.25,2
0,0.25,0.75,0.25,2
0,0.25,1,0.377398,2
0,0.5,0,0.25,0
0,0.5,0.25,0.711282,2
0,0.5,0.75,0.25,2
0,0.5,0.75,0.5,2
0,0.5,1,0.25,2
0,0.5,1,0.221029,2
0,0.5,1,1,2
0,0.75,0,0.75,1
0,0.75,0,1,2
0,0.75,0.5,0.25,2
0,0.75,0.75,0.25,2
0,0.75,0.75,0.75,2
0,0.75,1,1,2
0,1,0.75,1,2
0.25,0,0,0,0
0.25,0,0,0.25,1
0.25,0,0.25,0.5,2
0.25,0,0.5,0,2
0.395657,0,0.5,0.25,2
0.25,0,1,0.5,2
0.25,0,1,0.75,2
0.25,0.25,0,1,2
0.25,0.25,0.25,0.75,2
0.25,0.25,0.25,1,2
0.25,0.25,0.75,0.75,2
0.25,0.25,0.75,1,2
0.25,0.25,1,1,2
0.25,0.5,0,0.5,0
0.25,0.5,0.25,0.75,2
0.25,0.5,0.5,0.75,2
0.25,0.5,1,0.25,2
0.25,0.75,0,0.5,0
0.25,0.75,0,0.75,0
0.25,0.75,0.25,0.758494,1
0.25,0.75,0.25,1,2
0.25,0.75,0.75,0,0
0.25,0.75,0.75,1,2
0.25,1,0,0.147786,0
0.25,1,0.25,1,1
0.25,1,0.5,0.25,0
0.25,1,0.75,0.5,2
0.25,1,1,0.5,2
0.5,0,0,0.25,0
0.5,0,0,0.75,2
0.165262,0,0.409973,0.5,2
0.5,0,0.5,0.141389,2
0.5,0,1,0.543555,2
0.5,0.25,0,0.5,0
0.5,0.765668,0.25,1,2
0.357548,0.25,0.5,1,2
0.5,0.25,0.75,0.75,2
0.5,0.5,0,0.75,0
0.5,0.5,0.5,1,2
0.5,0.5,0.75,0,0
0.5,0.5,0.75,1,2
0.5,0.5,1,0,0
0.5,0.75,0,0.5,0
0.5,0.75,0,1,0
0.5,0.75,0.25,0.75,0
0.5,1,0,1,0
0.5,1,0.25,0.25,0
0.986798,1,0.25,1,0
0.5,1,0.5,0.75,0
0.5,1,0.5,1,1
0.5,1,1,0.25,0
0.75,0,0,0,0
0.75,0,0.25,0.25,1
0.75,0,0.75,0.75,2
0.75,0.25,0,0.5,0
0.75,0.25,0.25,0,0
0.75,0.25,0.25,0.5,0
0.75,0.25,0.5,0.25,0
0.75,0.25,0.5,0.5,2
0.75,0.25,0.75,1,2
0.75,0.5,0,0.75,0
0.75,0.5,0.75,0.5,1
0.75,0.5,1,0.5,2
0.75,0.75,0,0.75,0
0.75,0.75,0,1,0
0.75,0.75,0.75,1,2
0.75,0.75,1,0.25,0
0.75,0.75,1,0.5,0
0.75,1,0,0,0
0.75,1,0,0.5,0
0.75,1,0.25,0.25,0
0.75,1,0.5,0.75,0
0.75,1,0.5,1,0
0.75,1,0.75,0.25,0
0.75,1,0.75,0.75,0
0.75,1,1,0.75,1
1,0,0.25,0.095626,2
1,0,0.25,1,2
1,0,0.5,1,2
1,0.25,0.25,0.25,0
1,0.25,0.25,1,1
1,0.25,0.5,0,0
1,0.5,0,0,0
1,0.5,0,0.25,0
1,0.5,0,1,0
1,0.5,0.25,0.5,0
1,0.5,0.25,0.75,0
1,0.5,0.75,0.75,2
1,0.75,0,0.5,0
1,0.75,0.5,0.224372,0
1,1,0.25,1,0
1,1,1,0.25,0
0.25,0.185695,0.75,0.25,2
0.25,0.5,0.25,0,0
0.5,0,0.5,1,2
0.5,0.75,0.5,0.25,0
0.75,0.5,0.5,0,0
0.021049,1,0.5,0.792731,0
0.75,1,0.75,1,1
0.75,1,1,0.25,0
1,0.5,0.5,0.25,0
1,0.75,0.5,0,0
1,1,0.5,0.75,0
0,0,0.25,0,2
0,0,0.25,0.705913,2
0,0,0.25,0.75,2
0,0,0.5,0,2
0,0,0.75,0.25,2
0,0,0.75,0.5,2
0,0,1,0.5,2
0,0.25,0,0,0
0,0.25,0.25,0,1
0,0.25,0.25,0.25,2
0,0.25,0.5,0.75,2
0,0.25,0.5,1,2
0,0.25,1,1,2
0,0.5,0,0.5,1
0,0.5,0.25,0.5,2
0,0.5,0.5,1,2
0,0.5,0.75,0,2
0,0.5,1,0.5,2
0,0.75,0,0.25,0
0,0.75,0.5,0,0
0,0.75,0.5,0.75,2
0.007237,0.75,0.75,0,1
0,1,0,0,0
0,1,0.692552,0,0
0,1,0.5,0.25,2
0,1,0.75,0.25,2
0.25,0,0.25,0,1
0.25,0,0.25,1,2
0.25,0,0.75,0,2
0.25,0,0.75,0.5,2
0.211913,0.25,0.5,0.75,2
0.25,0.25,0.5,1,2
0.25,0.25,0.75,0.5,2
0.25,0.25,1,0.75,2
0.25,0.5,0,0,0
0.25,0.5,0,0.25,0
0.25,0.600392,0.75,0,0
0.25,0.5,0.75,0.25,2
0.25,0.75,0.25,0,0
0.25,0.75,0.5,0,0
0.25,0.75,1,0,0
0.25,1,0.264223,0.5,0
0.25,1,0.25,0,0
0.25,1,0.25,0.75,0
0.25,1,0.5,0,0
0.25,1,0.75,0.25,0
0.25,1,1,0,0
0.5,0,0,0.5,1
0.5,0.962263,0,1,2
0.5,0,0.75,0.25,2
0.5,0.0088,1,0.75,2
0.5,0.25,0.898279,0.75,0
0.5,0.25,1,0.5,2
0.5,0.5,0.25,0.25,0
0.5,0.5,0.75,0.75,2
0.5,0.75,0,0.75,0
0.5,0.75,0.25,0,0
0.5,0.939993,0.25,0.25,0
0.5,0.75,1,0.25,0
0.5,0.75,1,0.5,2
0.5,0.75,1,0.75,2
0.5,0.75,1,1,2
0.103909,1,0.25,0,0
0.5,1,0.25,0.5,0
0.5,1,0.5,0,0
0.75,0,0,1,2
0.75,0,0.25,0.75,2
0.75,0,0.75,0.5,2
0.995401,0,0.354161,0.5,2
0.75,0,1,1,2
0.75,0.25,0.25,0.75,1
0.75,0.25,0.25,1,2
0.75,0.25,0.5,0,0
0.75,0.25,1,1,2
0.75,0.5,0,0,0
0.75,0.463212,0,0.5,0
0.297108,0.5,1,1,2
0.75,0.75,0,0.5,0
0.75,0.75,0.25,0.75,0
0.75,0.75,0.5,0,0
0.75,0.75,0.5,0.75,0
0.75,1,0,0.25,0
0.75,1,0,0.75,0
0.75,1,0.25,0.920565,0
0.75,1,0.5,0,0
0.75,1,0.75,0,0
0.812376,0,0,0.25,0
1,0,0.5,0,0
1,0,0.5,0.25,2
1,0,0.75,0.5,2
1,0.25,0,0,0
1,0.25,0.25,0.75,0
1,0.25,0.5,0.5,0
1,0.25,0.5,1,2
1,0.25,0.75,0.5,2
1,0.25,0.75,0.75,2
1,0.25,1,1,2
1,0.5,0.25,0,0
1,0.5,0.5,1,1
1,0.5,1,0.25,0
1,0.5,1,0.5,1
1,0.5,1,1,2
1,0.75,0,0.75,0
0.734657,1,0.5,0,0
0.134432,1,0.5,0.5,0
1,1,0.75,0.75,0
1,1,1,0.768628,0
0,0.5,0.75,0.75,2
0,1,1,1,2
0.25,0,0,0.5,2
0.25,0,0.75,0.25,2
0.25,0.5,0.25,0.5,1
0.25,1,0.161395,1,2
0.25,0.080911,0.75,0.75,2
0.5,0.25,0.5,0,0
0.5,0.25,0.75,0,0
0.5,0.5,0.75,0.25,0
0.5,1,1,0.5,1
0.75,0,0.5,1,2
0.75,0,1,0,2
0.75,0.5,0.25,0.25,0
0.75,0.75,1,1,2
1,0.25,0.25,0,0
1,0.5,0.797633,0.75,0
1,0.5,0.75,0,0
0,0,0,0.25,2
0,0,0,0.5,2
0,0,0.25,1,2
0,0,0.5,0.75,2
0,0,1,0,2
0,0.25,0.5,0,2
0,0.25,0.5,0.5,2
0,0.25,1,0,2
0,0.5,0,1,2
0,0.5,0.5,0.25,2
0,0.5,0.5,0.75,2
0,0.75,0.25,1,2
0,0.75,0.5,0.5,2
0,0.75,0.75,0.5,2
0,0.75,1,0.25,2
0,1,0,0.75,0
0,1,0.25,1,2
0,1,0.5,0,0
0,1,0.75,0,0
0,1,1,0.75,2
0.25,0,0,0.75,2
0.25,0,0,1,2
0.25,0,0.5,0.75,2
0.25,0,0.75,1,2
0.25,0,1,0.25,2
0.25,0.25,0.25,0.25,1
0.25,0.25,0.5,0,0
0.25,0.5,0.25,0.25,0
0.25,0.5,0.75,0.75,2
0.25,0.5,1,0.5,2
0.25,0.5,1,1,2
0.25,0.75,0.25,0.5,0
0.25,0.75,0.5,0.5,2
0.25,0.75,0.5,0.75,2
0.25,1,0,0,0
0.25,1,0,0.25,0
0.25,1,0,1,0
0.25,1,0.75,0,0
0.25,1,1,0.75,2
0.5,0,0,0,0
0.5,0,0.25,0.25,2
0.5,0,0.75,0.5,2
0.5,0.25,0,1,0
0.5,0.25,0.25,0.25,0
0.5,0.25,0.25,0.75,2
0.5,0.25,0.5,0.25,1
0.5,0.25,1,0.25,2
0.5,0.25,1,1,2
0.5,0.5,0.5,0,0
0.5,0.5,0.5,0.25,0
0.5,0.5,0.5,0.75,2
0.5,0.5,0.75,0.5,2
0.5,0.5,1,0.25,2
0.5,0.5,1,0.5,2
0.5,0.5,1,1,2
0.5,0.75,0,0,0
0.5,0.75,0.25,1,0
0.5,0.75,0.75,0.5,1
0.5,0.75,0.75,0.75,2
0.5,1,0,0.25,0
0.5,1,0,0.75,0
0.5,1,0.75,0.25,0
0.5,1,0.75,1,2
0.5,1,1,0,0
0.5,1,1,1,2
0.75,0,0,0.25,0
0.75,0,0,0.75,1
0.75,0,0.5,0,0
0.75,0,0.75,0,1
0.75,0.25,0.5,1,2
0.75,0.25,1,0.25,2
0.75,0.5,0.5,0.25,0
0.75,0.5,0.75,1,2
0.75,0.75,0,0,0
0.75,0.75,0,0.25,0
0.75,0.75,0.25,0,0
0.75,0.75,0.25,0.5,0
0.75,0.75,0.5,0.5,0
0.75,0.75,0.75,0,0
0.75,1,0.5,0.25,0
1,0,0,0.5,0
1,0,0.25,0.5,2
1,0,0.75,0,0
1,0,1,0,1
1,0.25,0.75,0.25,0
1,0.25,1,0.5,2
1,0.5,0,0.5,0
1,0.5,0,0.75,0
1,0.5,0.25,1,0
1,0.5,0.5,0.5,0
1,0.5,0.75,0.5,0
1,0.5,0.75,1,2
1,0.75,0,1,0
1,0.75,0.25,0.25,0
1,0.75,0.5,0.25,0
1,0.75,0.5,0.5,0
1,0.75,0.75,0,0
1,0.75,0.75,1,1
1,0.75,1,0.5,0
1,0.75,1,0.75,1
1,0.75,1,1,2
1,1,0,0,0
1,1,0,0.5,0
1,1,0.25,0,0
1,1,0.25,0.5,0
1,1,0.5,0.25,0
1,1,0.75,1,0
1,1,1,0.75,0
0,0.5,0.5,0.5,2
0,0.75,1,0,2
0,1,0.75,0.5,2
0.25,1,0.5,0.75,2
0.5,0,0.5,0,1
0.5,0,0.75,0.75,2
0.5,0.25,0.5,0.75,2
0.5,0.5,0,0.5,0
0.5,0.5,0.25,0.5,0
0.5,0.5,1,0.75,2
0.75,0,0.25,0,0
0.75,0,0.25,0.5,2
0.75,0,0.5,0.75,2
0.75,0.5,0.25,0,0
0.75,0.75,0.5,0.25,0
0.75,0.75,0.75,0.75,1
1,1,1,0.5,0
